key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-1,36,15,1296.4387536289,110.6694838246,11.7145098073,220.1286586436,19.2109881244,11.4584766394,1076.3100950066,4203.791657274,0.2560331679,110.6694838246
0-1,37,15,2215.4220179854,197.6059119821,11.211314458,228.4227944005,20.8465657948,10.9573344909,1986.9992236063,7823.4486232632,0.2539799671,197.6059119821
0-1,38,15,3908.6518117584,361.1239331602,10.8235745484,242.8667124382,23.0469706163,10.5379017695,3665.7850993415,12832.1120173835,0.2856727789,361.1239331602
0-1,39,15,7002.2723714292,658.8451967339,10.6280995993,263.2835354379,25.7531799636,10.2233407995,6738.9888360126,16649.3942522742,0.4047587999,658.8451967339
0-1,40,15,12517.0109807826,1147.7974178086,10.9052440671,289.2495026866,28.8266060634,10.0341157766,12227.7614781173,14036.6942638074,0.8711282905,1147.7974178086
0-1,41,15,21066.7420842182,1527.2123896219,13.7942451406,319.7664270701,32.011753046,9.9890320474,20746.9756571694,5452.2506753082,3.8052130932,1527.2123896219
0-1,42,15,19805.3978206614,480.9521109316,41.1795631426,352.8703760926,34.9215473802,10.1046603763,19452.5274445901,625.9883607976,31.0749027662,480.9521109316
0-1,43,15,2495.3869664994,32.4625313961,76.8697590478,385.3045155863,37.0763396648,10.3921940264,2110.0824509345,31.7412716644,66.4775650214,32.4625313961
0-1,44,15,544.3086830276,7.5807960611,71.800992751,412.524317757,38.0179391132,10.8507806414,131.784365292,2.1621641784,60.9502121096,7.5807960611
0-1,45,15,441.934339436,6.923757656,63.8286839882,429.3898207857,37.476558509,11.4575574137,12.5445186717,0.2395311977,52.3711265745,6.923757656
0-1,46,15,433.5290170432,7.6108619547,56.9618815353,431.6993348045,35.507496416,12.1579772831,1.82968226,0.0408375629,44.8039042522,7.6108619547
0-1,47,15,418.4513805434,8.176495177,51.1773530693,418.0652672917,32.4976476324,12.8644778238,0.386113273,0.0100778986,38.3128752455,8.176495177
0-1,48,15,391.0399115016,8.4582841984,46.2315881482,390.9281263465,29.0186974824,13.4715945326,0.1117851764,0.0034122466,32.7599936156,8.4582841984
0-1,49,15,355.7843865802,8.4918577509,41.8971203968,355.7419716337,25.6194707416,13.8856097076,0.0424149679,0.0015141978,28.0115106891,8.4918577509
0-1,50,15,318.790092357,8.3882816953,38.0042187346,318.7698097277,22.6833878493,14.053007066,0.0202826506,0.0008468319,23.9512116686,8.3882816953
0-1,51,15,285.0378513591,8.2738885608,34.4502889136,285.0260379924,20.401466049,13.9708605895,0.0118133881,0.0005768417,20.4794283241,8.2738885608
0-1,52,15,257.4560020111,8.2550572751,31.1876699859,257.4478501445,18.8237013103,13.6767921409,0.0081518879,0.0004655328,17.510877845,8.2550572751
0-1,53,15,237.1902466333,8.4103783404,28.2020899693,237.1837461328,17.9284434927,13.229466698,0.0065005218,0.0004341605,14.9726232714,8.4103783404
0-1,54,15,224.3194082415,8.7990405573,25.4936213535,224.3135429254,17.6745533808,12.6913273616,0.0058653374,0.0004581474,12.8022939919,8.7990405573
0-1,55,15,218.4880146536,9.472678727,23.0650717659,218.4821322573,18.0287947436,12.1185101591,0.0058824177,0.0005373758,10.9465616068,9.472678727
0-1,56,15,219.2932789709,10.4839685258,20.9170104271,219.2868215165,18.9740659066,11.5571866671,0.0064574757,0.0006899142,9.35982376,10.4839685258
0-1,57,15,226.4444138502,11.8887169985,19.0470017815,226.4367551106,20.5033108303,11.0439117363,0.0076587609,0.0009569755,8.0030900453,11.8887169985
0-1,58,15,239.7715234285,13.7399656882,17.4506639151,239.7618198443,22.6027403643,10.6076438512,0.0097036055,0.0014180297,6.8430200639,13.7399656882
0-1,59,15,259.1161156251,16.0708644183,16.1233465033,259.1031070849,25.2236232913,10.2722398004,0.0130085615,0.0022232651,5.8511067029,16.0708644183
0-1,60,15,284.1216078738,18.8640613327,15.0615290559,284.1033053017,28.2449476281,10.0585530921,0.0183025935,0.0036583413,5.0029759638,18.8640613327
0-1,61,15,313.9255107342,22.0090714816,14.2634600009,313.8986741729,31.4349026034,9.9856735086,0.0268365826,0.0062734741,4.2777864923,22.0090714816
0-1,62,15,346.7726692269,25.2594154778,13.7284518532,346.7319048642,34.4296577467,10.0707334187,0.0407643841,0.0111447573,3.6577184345,25.2594154778
0-1,63,15,379.6618376898,28.2195812627,13.4538437745,379.5980196213,36.7602828704,10.3263084498,0.0638180899,0.0204052339,3.1275353247,28.2195812627
0-1,64,15,408.2622765871,30.4023291326,13.4286512986,408.1597508819,37.9526675841,10.7544416997,0.1025257267,0.0383387027,2.6742095989,30.4023291326
