key,time,all_swamps___total_rabbits
0-0,672,330.167625707
0-0,673,425.848060235
0-0,674,531.630052799
0-0,675,616.295484119
0-0,676,633.572875338
0-0,677,560.558978747
0-0,678,433.976658934
0-0,679,313.914109979
0-0,680,229.209541924
0-0,681,178.592833825
0-0,682,152.662289741
0-0,683,144.296511421
0-0,684,150.326611842
0-0,685,171.118665746
0-0,686,210.474608257
0-0,687,276.366249095
0-0,688,382.70544299
0-0,689,552.727180333
0-0,690,826.356738022
0-0,691,1280.98832152
0-0,692,2095.34226549
0-0,693,3713.52145131
0-0,694,7134.51706932
0-0,695,14013.6554909
0-0,696,20768.3911038
0-0,697,4079.74923848
0-0,698,359.91676591
0-0,699,161.034521613
0-0,700,147.032969262
0-0,701,158.774501398
0-0,702,185.920661514
0-0,703,229.998800637
0-0,704,294.455452088
0-0,705,381.257478675
0-0,706,485.121049704
0-1,707,331.248350098
0-1,708,283.010378099
0-1,709,303.576803398
0-1,710,328.34841945
0-1,711,348.034996198
0-1,712,357.839231513
0-1,713,354.860382765
0-1,714,339.063265113
0-1,715,313.539237492
0-1,716,283.283601005
0-1,717,253.25500692
0-1,718,226.993873682
0-1,719,206.329475185
0-1,720,191.816649177
0-1,721,183.338782304
0-1,722,180.563096008
0-1,723,183.183438418
0-1,724,191.001452547
0-1,725,203.895804824
0-1,726,221.702283931
0-1,727,244.011179343
0-1,728,269.884217981
0-1,729,297.532445641
0-1,730,324.082265225
0-1,731,345.67365495
0-1,732,358.183907192
0-1,733,358.640454627
0-1,734,346.80023157
0-1,735,325.876862089
0-1,736,301.831423231
0-1,737,281.917280243
0-1,738,273.960542351
0-1,739,287.424096218
0-1,740,336.626337826
0-1,741,446.666284964
0-1,742,663.753068653
0-1,743,1073.60799536
0-1,744,1834.63722057
0-1,745,3236.83615938
0-1,746,5798.72792493
0-1,747,10365.5980889
0-1,748,17445.8088933
0-1,749,16401.2633778
0-1,750,2066.48203877
0-1,751,450.753382992
0-1,752,365.975051974
0-1,753,359.014429038
0-1,754,346.528323503
0-1,755,323.828313768
0-1,756,294.632477613
0-1,757,263.996730302
0-1,758,236.045794945
0-1,759,213.204689722
0-1,760,196.422194641
0-1,761,185.763584687
0-1,762,180.934485925
0-1,763,181.601342117
0-1,764,187.523346192
0-1,765,198.55980384
0-1,766,214.579464461
0-1,767,235.287034588
0-1,768,259.968268711
0-1,769,287.169686351
0-1,770,314.405893325
0-1,771,338.090513817
0-1,772,353.991336977
0-1,773,358.382842444
0-1,774,349.618732435
0-1,775,329.196514286
0-1,776,301.393117683
0-1,777,271.600168415
0-1,778,244.570306614
0-1,779,223.650002765
0-1,780,211.115754152
0-1,781,209.166826606
0-1,782,221.263357274
0-1,783,253.932226773
0-1,784,319.616748171
0-1,785,441.679278895
0-1,786,663.536365749
0-1,787,1065.47303612
0-1,788,1795.41395753
0-1,789,3124.08918424
0-1,790,5537.44317079
0-1,791,9843.25249877
0-1,792,16727.3586484
0-1,793,18023.4710289
0-1,794,2729.5043169
0-1,795,477.577078947
0-1,796,318.830525808
0-1,797,276.915968273
0-1,798,246.15668668
0-1,799,221.000140172
0-1,800,201.889524656
0-1,801,188.988445237
0-1,802,182.054350746
0-1,803,180.735697422
0-1,804,184.748925138
0-1,805,193.921114773
0-1,806,208.132079871
0-1,807,227.171649655
0-2,808,331.248350098
0-2,809,245.024436968
0-2,810,221.032965781
0-2,811,202.064293054
0-2,812,183.751719333
0-2,813,166.583318893
0-2,814,151.263925185
0-2,815,138.204230921
0-2,816,127.539075559
0-2,817,119.224102453
0-2,818,113.124910919
0-2,819,109.080915592
0-2,820,106.944090782
0-2,821,106.598683743
0-2,822,107.968516203
0-2,823,111.016682558
0-2,824,115.739760087
0-2,825,122.15747319
0-2,826,130.29772804
0-2,827,140.175597823
0-2,828,151.765022487
0-2,829,164.961110043
0-2,830,179.53427062
0-2,831,195.078394654
0-2,832,210.96223149
0-2,833,226.300077241
0-2,834,239.965649894
0-2,835,250.677512113
0-2,836,257.178479623
0-2,837,258.486795157
0-2,838,254.164078514
0-2,839,244.492003598
0-2,840,230.462499293
0-2,841,213.561072439
0-2,842,195.426921307
0-2,843,177.528817547
0-2,844,160.965040183
0-2,845,146.413683947
0-2,846,134.192302026
0-2,847,124.364485801
0-2,848,116.845639167
0-2,849,111.487767127
0-2,850,108.131349074
0-2,851,106.638990089
0-2,852,106.90987496
0-2,853,108.882814315
0-2,854,112.535645301
0-2,855,117.877376356
0-2,856,124.936985098
0-2,857,133.747333835
0-2,858,144.322707343
0-2,859,156.629065397
0-2,860,170.545991929
0-2,861,185.821781514
0-2,862,202.027163924
